word,Type of Word,Attribute Class
table,Attribute,Ambiance
top,Attribute,Ambiance
experience,Attribute,Ambiance
light,Attribute,Ambiance
house,Attribute,Ambiance
style,Attribute,Ambiance
feel,Attribute,Ambiance
kitchen,Attribute,Ambiance
tables,Attribute,Ambiance
inside,Attribute,Ambiance
atmosphere,Attribute,Ambiance
space,Attribute,Ambiance
patio,Attribute,Ambiance
view,Attribute,Ambiance
packed,Attribute,Ambiance
door,Attribute,Ambiance
interior,Attribute,Ambiance
casino,Attribute,Ambiance
music,Attribute,Ambiance
decor,Attribute,Ambiance
floor,Attribute,Ambiance
loud,Attribute,Ambiance
club,Attribute,Ambiance
ambiance,Attribute,Ambiance
rock,Attribute,Ambiance
stay,Attribute,Ambiance
steakhouse,Attribute,Ambiance
crowd,Attribute,Ambiance
upscale,Attribute,Ambiance
casual,Attribute,Ambiance
lounge,Attribute,Ambiance
section,Attribute,Ambiance
outdoor,Attribute,Ambiance
cafe,Attribute,Ambiance
game,Attribute,Ambiance
exterior,Attribute,Ambiance
mall,Attribute,Ambiance
wall,Attribute,Ambiance
entrance,Attribute,Ambiance
setting,Attribute,Ambiance
crowded,Attribute,Ambiance
experiences,Attribute,Ambiance
vibe,Attribute,Ambiance
winner,Attribute,Ambiance
experienced,Attribute,Ambiance
art,Attribute,Ambiance
cart,Attribute,Ambiance
pub,Attribute,Ambiance
sound,Attribute,Ambiance
corner,Attribute,Ambiance
quiet,Attribute,Ambiance
scene,Attribute,Ambiance
sounds,Attribute,Ambiance
boulevard,Attribute,Ambiance
fountains,Attribute,Ambiance
venue,Attribute,Ambiance
food,Attribute,Food
menu,Attribute,Food
sauce,Attribute,Food
cheese,Attribute,Food
chicken,Attribute,Food
chocolate,Attribute,Food
cream,Attribute,Food
dish,Attribute,Food
meal,Attribute,Food
flavor,Attribute,Food
bread,Attribute,Food
dessert,Attribute,Food
fries,Attribute,Food
dinner,Attribute,Food
pork,Attribute,Food
items,Attribute,Food
cake,Attribute,Food
beef,Attribute,Food
dishes,Attribute,Food
burger,Attribute,Food
meat,Attribute,Food
salad,Attribute,Food
steak,Attribute,Food
rice,Attribute,Food
lunch,Attribute,Food
eat,Attribute,Food
ice,Attribute,Food
bacon,Attribute,Food
butter,Attribute,Food
dining,Attribute,Food
garlic,Attribute,Food
plate,Attribute,Food
breakfast,Attribute,Food
taste,Attribute,Food
lobster,Attribute,Food
shrimp,Attribute,Food
egg,Attribute,Food
cooked,Attribute,Food
fish,Attribute,Food
flavors,Attribute,Food
soup,Attribute,Food
tea,Attribute,Food
coffee,Attribute,Food
white,Attribute,Food
truffle,Attribute,Food
grilled,Attribute,Food
chef,Attribute,Food
desserts,Attribute,Food
pizza,Attribute,Food
sushi,Attribute,Food
crab,Attribute,Food
pudding,Attribute,Food
beer,Attribute,Food
french,Attribute,Food
rolls,Attribute,Food
potatoes,Attribute,Food
portion,Attribute,Food
plates,Attribute,Food
tomato,Attribute,Food
texture,Attribute,Food
roll,Attribute,Food
potato,Attribute,Food
tuna,Attribute,Food
bite,Attribute,Food
eating,Attribute,Food
sandwich,Attribute,Food
rib,Attribute,Food
toast,Attribute,Food
lemon,Attribute,Food
chips,Attribute,Food
corn,Attribute,Food
onion,Attribute,Food
salmon,Attribute,Food
choice,Attribute,Food
pie,Attribute,Food
buffet,Attribute,Food
mushrooms,Attribute,Food
curry,Attribute,Food
salt,Attribute,Food
banana,Attribute,Food
eggs,Attribute,Food
duck,Attribute,Food
pieces,Attribute,Food
onions,Attribute,Food
tacos,Attribute,Food
caramel,Attribute,Food
fruit,Attribute,Food
pasta,Attribute,Food
crust,Attribute,Food
oil,Attribute,Food
slices,Attribute,Food
ramen,Attribute,Food
ingredients,Attribute,Food
pancakes,Attribute,Food
portions,Attribute,Food
mac,Attribute,Food
noodles,Attribute,Food
honey,Attribute,Food
vanilla,Attribute,Food
gras,Attribute,Food
spice,Attribute,Food
syrup,Attribute,Food
belly,Attribute,Food
coconut,Attribute,Food
iced,Attribute,Food
sausage,Attribute,Food
piece,Attribute,Food
sugar,Attribute,Food
broth,Attribute,Food
main,Attribute,Food
lamb,Attribute,Food
stuffed,Attribute,Food
whipped,Attribute,Food
apple,Attribute,Food
pepper,Attribute,Food
filet,Attribute,Food
appetizers,Attribute,Food
avocado,Attribute,Food
baked,Attribute,Food
bbq,Attribute,Food
slice,Attribute,Food
tomatoes,Attribute,Food
appetizer,Attribute,Food
option,Attribute,Food
cinnamon,Attribute,Food
seafood,Attribute,Food
nutella,Attribute,Food
strawberry,Attribute,Food
pastry,Attribute,Food
brunch,Attribute,Food
peanut,Attribute,Food
bun,Attribute,Food
sauces,Attribute,Food
bone,Attribute,Food
stuff,Attribute,Food
maple,Attribute,Food
thai,Attribute,Food
wings,Attribute,Food
beans,Attribute,Food
meats,Attribute,Food
sea,Attribute,Food
spinach,Attribute,Food
burgers,Attribute,Food
italian,Attribute,Food
mushroom,Attribute,Food
bites,Attribute,Food
mango,Attribute,Food
milk,Attribute,Food
nigiri,Attribute,Food
parmesan,Attribute,Food
peppers,Attribute,Food
based,Attribute,Food
basil,Attribute,Food
chili,Attribute,Food
eye,Attribute,Food
waffle,Attribute,Food
waffles,Attribute,Food
orange,Attribute,Food
mexican,Attribute,Food
cookie,Attribute,Food
tart,Attribute,Food
veggies,Attribute,Food
entree,Attribute,Food
taco,Attribute,Food
greens,Attribute,Food
gelato,Attribute,Food
mix,Attribute,Food
octopus,Attribute,Food
pineapple,Attribute,Food
skin,Attribute,Food
basket,Attribute,Food
gravy,Attribute,Food
raspberry,Attribute,Food
tofu,Attribute,Food
dressing,Attribute,Food
mashed,Attribute,Food
carrot,Attribute,Food
combination,Attribute,Food
pho,Attribute,Food
pot,Attribute,Food
courses,Attribute,Food
ate,Attribute,Food
olive,Attribute,Food
salsa,Attribute,Food
sandwiches,Attribute,Food
cookies,Attribute,Food
creme,Attribute,Food
entrees,Attribute,Food
ricotta,Attribute,Food
toppings,Attribute,Food
chunks,Attribute,Food
item,Attribute,Food
choices,Attribute,Food
fella,Attribute,Food
mustard,Attribute,Food
dip,Attribute,Food
velvet,Attribute,Food
cheddar,Attribute,Food
mousse,Attribute,Food
ribs,Attribute,Food
brioche,Attribute,Food
custard,Attribute,Food
lime,Attribute,Food
mint,Attribute,Food
scallops,Attribute,Food
yellowtail,Attribute,Food
cakes,Attribute,Food
lettuce,Attribute,Food
shell,Attribute,Food
toasted,Attribute,Food
buttery,Attribute,Food
cheesecake,Attribute,Food
ribeye,Attribute,Food
mayo,Attribute,Food
menus,Attribute,Food
bean,Attribute,Food
pancake,Attribute,Food
asian,Attribute,Food
citrus,Attribute,Food
meatballs,Attribute,Food
oysters,Attribute,Food
pan,Attribute,Food
eggplant,Attribute,Food
mozzarella,Attribute,Food
pistachio,Attribute,Food
toffee,Attribute,Food
cilantro,Attribute,Food
gnocchi,Attribute,Food
jam,Attribute,Food
ravioli,Attribute,Food
sprouts,Attribute,Food
asparagus,Attribute,Food
bananas,Attribute,Food
japanese,Attribute,Food
soy,Attribute,Food
offerings,Attribute,Food
sashimi,Attribute,Food
cherry,Attribute,Food
korean,Attribute,Food
stick,Attribute,Food
benedict,Attribute,Food
hash,Attribute,Food
jalapeno,Attribute,Food
vegetables,Attribute,Food
wagyu,Attribute,Food
american,Attribute,Food
bellagio,Attribute,Food
ham,Attribute,Food
offering,Attribute,Food
sliders,Attribute,Food
spoon,Attribute,Food
chinese,Attribute,Food
seasoning,Attribute,Food
macarons,Attribute,Food
scallop,Attribute,Food
tiramisu,Attribute,Food
almond,Attribute,Food
chile,Attribute,Food
prosciutto,Attribute,Food
salads,Attribute,Food
shake,Attribute,Food
batter,Attribute,Food
buns,Attribute,Food
goat,Attribute,Food
meals,Attribute,Food
nachos,Attribute,Food
tastes,Attribute,Food
balsamic,Attribute,Food
crepe,Attribute,Food
dine,Attribute,Food
risotto,Attribute,Food
steaks,Attribute,Food
strawberries,Attribute,Food
sweets,Attribute,Food
brulee,Attribute,Food
calamari,Attribute,Food
greek,Attribute,Food
spread,Attribute,Food
brisket,Attribute,Food
cuisine,Attribute,Food
eaten,Attribute,Food
omelet,Attribute,Food
tartare,Attribute,Food
tortilla,Attribute,Food
cucumber,Attribute,Food
textures,Attribute,Food
truffles,Attribute,Food
turkey,Attribute,Food
arugula,Attribute,Food
bleu,Attribute,Food
buffets,Attribute,Food
ginger,Attribute,Food
kobe,Attribute,Food
puree,Attribute,Food
stack,Attribute,Food
strips,Attribute,Food
breast,Attribute,Food
combo,Attribute,Food
confit,Attribute,Food
hazelnut,Attribute,Food
pecan,Attribute,Food
veal,Attribute,Food
cotta,Attribute,Food
rings,Attribute,Food
veggie,Attribute,Food
yogurt,Attribute,Food
chipotle,Attribute,Food
noodle,Attribute,Food
peach,Attribute,Food
selections,Attribute,Food
berries,Attribute,Food
chip,Attribute,Food
croissant,Attribute,Food
dined,Attribute,Food
eats,Attribute,Food
layer,Attribute,Food
nuts,Attribute,Food
pastries,Attribute,Food
pesto,Attribute,Food
polenta,Attribute,Food
spaghetti,Attribute,Food
squash,Attribute,Food
blueberry,Attribute,Food
breaded,Attribute,Food
buttermilk,Attribute,Food
indian,Attribute,Food
mussels,Attribute,Food
olives,Attribute,Food
panna,Attribute,Food
pig,Attribute,Food
yuzu,Attribute,Food
balls,Attribute,Food
box,Attribute,Food
broccoli,Attribute,Food
bulgogi,Attribute,Food
caviar,Attribute,Food
foods,Attribute,Food
patty,Attribute,Food
protein,Attribute,Food
treat,Attribute,Food
vinaigrette,Attribute,Food
ranch,Attribute,Food
sage,Attribute,Food
walnut,Attribute,Food
almonds,Attribute,Food
guacamole,Attribute,Food
robuchon,Attribute,Food
spices,Attribute,Food
versions,Attribute,Food
york,Attribute,Food
carrots,Attribute,Food
cauliflower,Attribute,Food
hawaiian,Attribute,Food
ketchup,Attribute,Food
prix,Attribute,Food
sundae,Attribute,Food
beignets,Attribute,Food
carne,Attribute,Food
diners,Attribute,Food
naan,Attribute,Food
pear,Attribute,Food
pumpkin,Attribute,Food
wasabi,Attribute,Food
asada,Attribute,Food
clams,Attribute,Food
feta,Attribute,Food
herb,Attribute,Food
legs,Attribute,Food
nut,Attribute,Food
roast,Attribute,Food
sesame,Attribute,Food
biscuit,Attribute,Food
bourbon,Attribute,Food
brownie,Attribute,Food
buffalo,Attribute,Food
carte,Attribute,Food
cheesy,Attribute,Food
chop,Attribute,Food
chorizo,Attribute,Food
cocoa,Attribute,Food
palate,Attribute,Food
root,Attribute,Food
snack,Attribute,Food
tapas,Attribute,Food
acidity,Attribute,Food
bakery,Attribute,Food
biscuits,Attribute,Food
cups,Attribute,Food
diner,Attribute,Food
english,Attribute,Food
mascarpone,Attribute,Food
mignon,Attribute,Food
topping,Attribute,Food
baguette,Attribute,Food
boba,Attribute,Food
burrito,Attribute,Food
cheek,Attribute,Food
chops,Attribute,Food
crepes,Attribute,Food
flatbread,Attribute,Food
fork,Attribute,Food
frosting,Attribute,Food
marinara,Attribute,Food
mixture,Attribute,Food
peas,Attribute,Food
walnuts,Attribute,Food
apps,Attribute,Food
candy,Attribute,Food
carpaccio,Attribute,Food
donut,Attribute,Food
horseradish,Attribute,Food
jalape?,Attribute,Food
kalbi,Attribute,Food
lasagna,Attribute,Food
oven,Attribute,Food
apples,Attribute,Food
bass,Attribute,Food
beets,Attribute,Food
berry,Attribute,Food
cornbread,Attribute,Food
description,Attribute,Food
fennel,Attribute,Food
jelly,Attribute,Food
kale,Attribute,Food
marshmallow,Attribute,Food
pizzas,Attribute,Food
cod,Attribute,Food
herbs,Attribute,Food
vegetable,Attribute,Food
brussels,Attribute,Food
cajun,Attribute,Food
carnevino,Attribute,Food
cheeses,Attribute,Food
hamachi,Attribute,Food
kimchi,Attribute,Food
leaf,Attribute,Food
lines,Attribute,Food
muffin,Attribute,Food
peanuts,Attribute,Food
pecans,Attribute,Food
pretzel,Attribute,Food
soups,Attribute,Food
vietnamese,Attribute,Food
albacore,Attribute,Food
bernaise,Attribute,Food
charcuterie,Attribute,Food
macaron,Attribute,Food
platter,Attribute,Food
powder,Attribute,Food
product,Attribute,Food
scoop,Attribute,Food
vinegar,Attribute,Food
butterscotch,Attribute,Food
caesar,Attribute,Food
cracker,Attribute,Food
liver,Attribute,Food
mediterranean,Attribute,Food
pies,Attribute,Food
ponzu,Attribute,Food
takeout,Attribute,Food
tikka,Attribute,Food
tortillas,Attribute,Food
watermelon,Attribute,Food
bones,Attribute,Food
crawfish,Attribute,Food
doughnuts,Attribute,Food
feast,Attribute,Food
frites,Attribute,Food
milkshake,Attribute,Food
mountain,Attribute,Food
seaweed,Attribute,Food
bagel,Attribute,Food
dough,Attribute,Food
grits,Attribute,Food
bar,Attribute,Food
drinks,Attribute,Food
drink,Attribute,Food
wine,Attribute,Food
water,Attribute,Food
cocktails,Attribute,Food
cocktail,Attribute,Food
beers,Attribute,Food
refills,Attribute,Food
sorbet,Attribute,Food
alcohol,Attribute,Food
rum,Attribute,Food
glasses,Attribute,Food
espresso,Attribute,Food
juice,Attribute,Food
bottle,Attribute,Food
refill,Attribute,Food
vodka,Attribute,Food
booth,Attribute,Food
champagne,Attribute,Food
booths,Attribute,Food
juices,Attribute,Food
sangria,Attribute,Food
soda,Attribute,Food
margarita,Attribute,Food
liquor,Attribute,Food
latte,Attribute,Food
liquid,Attribute,Food
vegas,Attribute,Location
strip,Attribute,Location
spot,Attribute,Location
town,Attribute,Location
location,Attribute,Location
las,Attribute,Location
city,Attribute,Location
located,Attribute,Location
parking,Attribute,Location
spots,Attribute,Location
street,Attribute,Location
trip,Attribute,Location
downtown,Attribute,Location
shop,Attribute,Location
station,Attribute,Location
country,Attribute,Location
bay,Attribute,Location
park,Attribute,Location
locations,Attribute,Location
square,Attribute,Location
island,Attribute,Location
ny,Attribute,Location
venetian,Attribute,Location
california,Attribute,Location
nearby,Attribute,Location
price,Attribute,Price
worth,Attribute,Price
check,Attribute,Price
prices,Attribute,Price
deal,Attribute,Price
offer,Attribute,Price
pay,Attribute,Price
total,Attribute,Price
card,Attribute,Price
change,Attribute,Price
priced,Attribute,Price
cost,Attribute,Price
bill,Attribute,Price
save,Attribute,Price
pricey,Attribute,Price
pricing,Attribute,Price
worthy,Attribute,Price
spend,Attribute,Price
charge,Attribute,Price
money,Attribute,Price
buy,Attribute,Price
paying,Attribute,Price
ratio,Attribute,Price
sample,Attribute,Price
sampler,Attribute,Price
fare,Attribute,Price
credit,Attribute,Price
spent,Attribute,Price
paid,Attribute,Price
discount,Attribute,Price
service,Attribute,Service
time,Attribute,Service
server,Attribute,Service
served,Attribute,Service
brought,Attribute,Service
wait,Attribute,Service
times,Attribute,Service
minutes,Attribute,Service
staff,Attribute,Service
bowl,Attribute,Service
person,Attribute,Service
list,Attribute,Service
line,Attribute,Service
selection,Attribute,Service
glass,Attribute,Service
variety,Attribute,Service
servers,Attribute,Service
offered,Attribute,Service
guy,Attribute,Service
serve,Attribute,Service
tip,Attribute,Service
waiting,Attribute,Service
reservation,Attribute,Service
serving,Attribute,Service
presentation,Attribute,Service
counter,Attribute,Service
cup,Attribute,Service
level,Attribute,Service
concept,Attribute,Service
waited,Attribute,Service
hostess,Attribute,Service
greeted,Attribute,Service
waiter,Attribute,Service
stand,Attribute,Service
idea,Attribute,Service
owner,Attribute,Service
chefs,Attribute,Service
giving,Attribute,Service
manager,Attribute,Service
received,Attribute,Service
attention,Attribute,Service
bartender,Attribute,Service
waitress,Attribute,Service
delivered,Attribute,Service
request,Attribute,Service
reservations,Attribute,Service
executed,Attribute,Service
call,Attribute,Service
michael,Attribute,Service
online,Attribute,Service
chain,Attribute,Service
poured,Attribute,Service
suggested,Attribute,Service
tableside,Attribute,Service
stood,Attribute,Service
customers,Attribute,Service
fill,Attribute,Service
woman,Attribute,Service
execution,Attribute,Service
seats,Attribute,Service
suggest,Attribute,Service
customer,Attribute,Service
playing,Attribute,Service
treated,Attribute,Service
understand,Attribute,Service
chef's,Attribute,Service
cobbler,Attribute,Service
explained,Attribute,Service
guest,Attribute,Service
smile,Attribute,Service
informed,Attribute,Service
lady,Attribute,Service
mistake,Attribute,Service
hospitality,Attribute,Service
advice,Attribute,Service
restaurant,Attribute,general
people,Attribute,Service
told,Attribute,Service
lot,Attribute,Location
home,Attribute,Location
store,Attribute,Location
car,Attribute,Location
called,Attribute,Service
hotel,Attribute,Location
fried,Attribute,Food
front,Attribute,Ambiance
business,Attribute,general
starch,Attribute,Food
tasted,Attribute,Food
walk,Attribute,Location
restaurants,Attribute,general
makes,Attribute,Food
walked,Attribute,Location
guys,Attribute,Service
cut,Attribute,Food
lots,Attribute,Location
phone,Attribute,Service
sit,Attribute,Service
drive,Attribute,Location
local,Attribute,Location
seated,Attribute,Service
sat,Attribute,Service
amount,Attribute,Price
seating,Attribute,Ambiance
pool,Attribute,Ambiance
office,Attribute,Ambiance
appointment,Attribute,Service
sitting,Attribute,Service
employees,Attribute,Service
de,Attribute,Location
girl,Attribute,Service
walking,Attribute,Location
watch,Attribute,Service
bought,Attribute,Price
phoenix,Attribute,Location
prepared,Attribute,Food
hands,Attribute,Service
minute,Attribute,Service
talk,Attribute,Service
desk,Attribute,Ambiance
overhead,Attribute,Price
hungry,Attribute,Food
seat,Attribute,Service
mouth,Attribute,Food
questions,Attribute,Service
specials,Attribute,Food
filled,Attribute,Service
girls,Attribute,Service
share,Attribute,Food
der,Attribute,Location
center,Attribute,Location
tostadas,Attribute,Food
bathroom,Attribute,Ambiance
bed,Attribute,Ambiance
management,Attribute,Service
cash,Attribute,Price
school,Attribute,Location
grab,Attribute,Food
dogs,Attribute,Food
toronto,Attribute,Location
charged,Attribute,Price
tasting,Attribute,Food
book,Attribute,Ambiance
owners,Attribute,Service
process,Attribute,Service
services,Attribute,Service
vegetarian,Attribute,Food
plant,Attribute,Food
plants,Attribute,Food
platain,Attribute,Food
platains,Attribute,Food
products,Attribute,Food
airport,Attribute,Location
building,Attribute,Location
attitude,Attribute,Service
scottsdale,Attribute,Location
window,Attribute,Ambiance
air,Attribute,Ambiance
cook,Attribute,Service
resort,Attribute,Location
valley,Attribute,Location
color,Attribute,Ambiance
neighborhood,Attribute,Location
market,Attribute,Location
team,Attribute,Service
seasoned,Attribute,Food
tv,Attribute,Ambiance
craving,Attribute,Food
shops,Attribute,general
blue,Attribute,Ambiance
games,Attribute,Ambiance
dollars,Attribute,Price
homemade,Attribute,Food
chairs,Attribute,Ambiance
cleaning,Attribute,Service
bucks,Attribute,Price
