word,Type of Word,Attribute Class
hangout,Attribute,Ambiance
shelves,Attribute,Ambiance
straw,Attribute,Food
mojito,Attribute,Food
tenderloin,Attribute,Food
dealers,Attribute,Service
char,Attribute,Food
groceries,Attribute,Food
ghetto,Attribute,Location
taxes,Attribute,Price
pico,Attribute,Food
vegetarians,Attribute,Food
bird,Attribute,Food
monte,Attribute,Location
tools,Attribute,Ambiance
sits,Attribute,Service
trek,Attribute,Location
melts,Attribute,Food
cheesesteak,Attribute,Food
performers,Attribute,Ambiance
washing,Attribute,Service
instructions,Attribute,Service
transaction,Attribute,Price
depot,Attribute,Location
reply,Attribute,Service
sauteed,Attribute,Food
verde,Attribute,Food
covers,Attribute,Ambiance
pollo,Attribute,Food
cigarette,Attribute,Food
fills,Attribute,Service
billing,Attribute,Price
refrigerator,Attribute,Food
cranberry,Attribute,Food
angeles,Attribute,Location
oatmeal,Attribute,Food
processed,Attribute,Food
behavior,Attribute,Service
ceilings,Attribute,Ambiance
associates,Attribute,Service
atm,Attribute,Price
pizzeria,Attribute,Food
quinoa,Attribute,Food
paneer,Attribute,Food
rub,Attribute,Food
hollandaise,Attribute,Food
chew,Attribute,Food
inform,Attribute,Service
brussel,Attribute,Food
hostesses,Attribute,Service
purse,Attribute,Price
directions,Attribute,Location
colour,Attribute,Ambiance
lane,Attribute,Location
boston,Attribute,Location
sheet,Attribute,Ambiance
supermarket,Attribute,Location
rye,Attribute,Food
kung,Attribute,Food
jalapenos,Attribute,Food
seeds,Attribute,Food
gloves,Attribute,Service
packaged,Attribute,Food
cow,Attribute,Food
underneath,Attribute,Location
boneless,Attribute,Food
avenue,Attribute,Location
retro,Attribute,Ambiance
aroma,Attribute,Food
serviced,Attribute,Service
resto,Attribute,general
frames,Attribute,Ambiance
martinis,Attribute,Food
cali,Attribute,Location
circle,Attribute,Location
pounds,Attribute,Price
gaming,Attribute,Ambiance
gyoza,Attribute,Food
wedge,Attribute,Food
bao,Attribute,Food
tavern,Attribute,general
baklava,Attribute,Food
penne,Attribute,Food
fillings,Attribute,Food
bin,Attribute,Ambiance
creek,Attribute,Location
wipe,Attribute,Service
handling,Attribute,Food
maker,Attribute,Service
allergy,Attribute,Food
purchases,Attribute,Price
defiantly,Attribute,Service
buildings,Attribute,Location
grain,Attribute,Food
inventory,Attribute,Food
ambiente,Attribute,Ambiance
sofa,Attribute,Ambiance
bake,Attribute,Food
milkshakes,Attribute,Food
crusted,Attribute,Food
eel,Attribute,Food
shrimps,Attribute,Food
chatted,Attribute,Service
stools,Attribute,Ambiance
soak,Attribute,Food
interaction,Attribute,Service
warehouse,Attribute,Location
aisle,Attribute,Ambiance
wontons,Attribute,Food
gin,Attribute,Food
chilli,Attribute,Food
foam,Attribute,Food
cleaners,Attribute,Service
directed,Attribute,Service
sourdough,Attribute,Food
speaks,Attribute,Service
margherita,Attribute,Food
mochi,Attribute,Food
remodeled,Attribute,Ambiance
vermicelli,Attribute,Food
airline,Attribute,Location
curries,Attribute,Food
designs,Attribute,Ambiance
stuttgart,Attribute,Location
cities,Attribute,Location
jacuzzi,Attribute,Ambiance
trout,Attribute,Food
tater,Attribute,Food
spirit,Attribute,Ambiance
aisles,Attribute,Ambiance
dime,Attribute,Price
flan,Attribute,Food
lunches,Attribute,Food
empanadas,Attribute,Food
bench,Attribute,Ambiance
perform,Attribute,Service
caesar's,Attribute,Food
quiche,Attribute,Food
situated,Attribute,Location
butcher,Attribute,Service
calzone,Attribute,Food
recipes,Attribute,Food
scramble,Attribute,Food
fudge,Attribute,Food
manger,Attribute,Service
videos,Attribute,Ambiance
consultation,Attribute,Service
celery,Attribute,Food
privacy,Attribute,Ambiance
allergic,Attribute,Food
oreo,Attribute,Food
paella,Attribute,Food
sampling,Attribute,Food
finance,Attribute,Price
cigar,Attribute,Food
backyard,Attribute,Ambiance
tandoori,Attribute,Food
stuffing,Attribute,Food
satay,Attribute,Food
carolina,Attribute,Location
exhibits,Attribute,Ambiance
stickers,Attribute,Ambiance
promotion,Attribute,Price
drinker,Attribute,Food
county,Attribute,Location
gallery,Attribute,Ambiance
cent,Attribute,Price
terrace,Attribute,Ambiance
napkin,Attribute,Ambiance
arts,Attribute,Ambiance
byob,Attribute,Service
outdoors,Attribute,Ambiance
mandarin,Attribute,Food
bouncers,Attribute,Service
horchata,Attribute,Food
cucumbers,Attribute,Food
benches,Attribute,Ambiance
creamed,Attribute,Food
leftover,Attribute,Food
canal,Attribute,Location
candle,Attribute,Ambiance
tropical,Attribute,Ambiance
fireplace,Attribute,Ambiance
ford,Attribute,Location
theaters,Attribute,Location
gumbo,Attribute,Food
macaroons,Attribute,Food
structure,Attribute,Ambiance
prawns,Attribute,Food
schnitzel,Attribute,Food
estate,Attribute,Location
viel,Attribute,Food
orleans,Attribute,Location
wisconsin,Attribute,Location
searched,Attribute,Location
bouncer,Attribute,Service
technicians,Attribute,Service
scoops,Attribute,Food
assorted,Attribute,Food
panang,Attribute,Food
remodel,Attribute,Ambiance
explains,Attribute,Service
lamp,Attribute,Ambiance
arrangement,Attribute,Ambiance
nacho,Attribute,Food
ounce,Attribute,Food
bridge,Attribute,Location
displays,Attribute,Ambiance
hosts,Attribute,Service
financial,Attribute,Price
lanes,Attribute,Location
highway,Attribute,Location
owns,Attribute,Service
jasmine,Attribute,Food
spilled,Attribute,Food
neon,Attribute,Ambiance
sriracha,Attribute,Food
fig,Attribute,Food
jungle,Attribute,Ambiance
breakfasts,Attribute,Food
cardboard,Attribute,Ambiance
lychee,Attribute,Food
sautÌ©ed,Attribute,Food
barrel,Attribute,Ambiance
crushed,Attribute,Food
quesadillas,Attribute,Food
crackers,Attribute,Food
scotch,Attribute,Food
candles,Attribute,Ambiance
tamale,Attribute,Food
clock,Attribute,Ambiance
cannoli,Attribute,Food
discussed,Attribute,Service
rooftop,Attribute,Ambiance
hiking,Attribute,Location
scones,Attribute,Food
cans,Attribute,Food
fillet,Attribute,Food
technique,Attribute,Service
carb,Attribute,Food
pao,Attribute,Food
crystal,Attribute,Ambiance
aquarium,Attribute,Ambiance
chunk,Attribute,Food
coated,Attribute,Service
papaya,Attribute,Food
pots,Attribute,Food
trays,Attribute,Food
cabana,Attribute,Ambiance
condo,Attribute,Location
cowboy,Attribute,Ambiance
guitar,Attribute,Ambiance
wiped,Attribute,Service
puff,Attribute,Food
dc,Attribute,Location
nc,Attribute,Location
salami,Attribute,Food
corners,Attribute,Ambiance
curtains,Attribute,Ambiance
samosas,Attribute,Food
hubs,Attribute,general
catered,Attribute,Food
communicate,Attribute,Service
racks,Attribute,Ambiance
champaign,Attribute,Food
fry's,Attribute,Food
refried,Attribute,Food
brewing,Attribute,Food
pomegranate,Attribute,Food
gorgonzola,Attribute,Food
thirsty,Attribute,Food
mirrors,Attribute,Ambiance
washroom,Attribute,Ambiance
renovation,Attribute,Ambiance
pouring,Attribute,Food
decoration,Attribute,Ambiance
costumes,Attribute,Ambiance
tarts,Attribute,Food
staffs,Attribute,service
freeway,Attribute,Location
baja,Attribute,Food
bibimbap,Attribute,Food
euro,Attribute,Price
tzatziki,Attribute,Food
butternut,Attribute,Food
sf,Attribute,Location
peel,Attribute,Food
underground,Attribute,Location
brownies,Attribute,Food
listens,Attribute,Service
belgian,Attribute,Food
crumbs,Attribute,Food
courtyard,Attribute,Ambiance
dill,Attribute,Food
okra,Attribute,Food
pinch,Attribute,Food
lotus,Attribute,Food
microwaved,Attribute,Food
salesperson,Attribute,Service
lemongrass,Attribute,Food
cubes,Attribute,Food
garnish,Attribute,Food
seattle,Attribute,Location
platters,Attribute,Food
steakhouses,Attribute,general
personnel,Attribute,Service
omelets,Attribute,Food
scenery,Attribute,Ambiance
souvlaki,Attribute,Food
indoors,Attribute,Ambiance
pea,Attribute,Food
television,Attribute,Ambiance
flooring,Attribute,Ambiance
bouchon,Attribute,Food
tunes,Attribute,Ambiance
refilling,Attribute,Service
renovations,Attribute,Ambiance
sprinkles,Attribute,Food
wok,Attribute,Food
cantonese,Attribute,Food
dips,Attribute,Food
pinot,Attribute,Food
granola,Attribute,Food
grapefruit,Attribute,Food
pints,Attribute,Food
heating,Attribute,Ambiance
fritters,Attribute,Food
tapioca,Attribute,Food
pitchers,Attribute,Food
hometown,Attribute,Location
acrylic,Attribute,Ambiance
tex,Attribute,Food
soaking,Attribute,Food
baking,Attribute,Food
walgreens,Attribute,Location
slab,Attribute,Food
pubs,Attribute,general
tours,Attribute,Location
wedges,Attribute,Food
maid,Attribute,Service
parks,Attribute,Location
radish,Attribute,Food
hipsters,Attribute,Ambiance
caffeine,Attribute,Food
wellington,Attribute,Location
roots,Attribute,Food
cigars,Attribute,Food
surface,Attribute,Ambiance
fryer,Attribute,Food
plated,Attribute,Food
boards,Attribute,Ambiance
boulder,Attribute,Location
brooklyn,Attribute,Location
chimichanga,Attribute,Food
techniques,Attribute,Service
kabobs,Attribute,Food
dimly,Attribute,Ambiance
demeanor,Attribute,Service
tai,Attribute,Food
seed,Attribute,Food
yolk,Attribute,Food
parfait,Attribute,Food
quarters,Attribute,Price
tres,Attribute,Food
foodies,Attribute,Food
cereal,Attribute,Food
skins,Attribute,Food
sipping,Attribute,Food
chipped,Attribute,Food
sandwhich,Attribute,Food
lawn,Attribute,Ambiance
seasonings,Attribute,Food
supper,Attribute,Food
chopsticks,Attribute,Food
fettuccine,Attribute,Food
churros,Attribute,Food
cigarettes,Attribute,Food
sounding,Attribute,Ambiance
redeeming,Attribute,Price
cola,Attribute,Food
memorabilia,Attribute,Ambiance
audio,Attribute,Ambiance
oils,Attribute,Food
pillow,Attribute,Ambiance
pinball,Attribute,Ambiance
bathtub,Attribute,Ambiance
inquire,Attribute,Service
bakeries,Attribute,Food
pepsi,Attribute,Food
visually,Attribute,Ambiance
tonkotsu,Attribute,Food
froyo,Attribute,Food
coats,Attribute,Service
breadsticks,Attribute,Food
garlicky,Attribute,Food
tonkatsu,Attribute,Food
dishwasher,Attribute,Service
malt,Attribute,Food
kensington,Attribute,Location
peruvian,Attribute,Food
server's,Attribute,Service
cesar,Attribute,Food
bubbles,Attribute,Food
fest,Attribute,Context
courts,Attribute,Ambiance
greets,Attribute,Service
fajita,Attribute,Food
pacific,Attribute,Location
studios,Attribute,Ambiance
dosa,Attribute,Food
hashbrowns,Attribute,Food
queue,Attribute,Service
escorted,Attribute,Context
ontario,Attribute,Location
scone,Attribute,Food
stalls,Attribute,Ambiance
blinds,Attribute,Ambiance
buttered,Attribute,Food
tilapia,Attribute,Food
chandelier,Attribute,Ambiance
ventilation,Attribute,Ambiance
teppanyaki,Attribute,Food
galore,Attribute,Ambiance
boiling,Attribute,Food
minced,Attribute,Food
jamaican,Attribute,Food
tastebuds,Attribute,Food
bahn,Attribute,Location
airports,Attribute,Location
forks,Attribute,Food
ringing,Attribute,Ambiance
washes,Attribute,Service
billed,Attribute,Price
charleston,Attribute,Location
gps,Attribute,Location
feeding,Attribute,Service
discussion,Attribute,Service
prints,Attribute,Ambiance
capers,Attribute,Food
creates,Attribute,Service
collard,Attribute,Food
snapper,Attribute,Food
toilets,Attribute,Ambiance
promoter,Attribute,Service
costume,Attribute,Ambiance
richmond,Attribute,Location
monorail,Attribute,Location
gallon,Attribute,Food
pine,Attribute,Food
landscaping,Attribute,Ambiance
drafts,Attribute,Food
shark,Attribute,Food
premises,Attribute,Location
hosted,Attribute,Service
mugs,Attribute,Food
burrata,Attribute,Food
jars,Attribute,Food
rentals,Attribute,Location
sang,Attribute,Ambiance
woods,Attribute,Ambiance
smokers,Attribute,Ambiance
danforth,Attribute,Location
condensed,Attribute,Food
scampi,Attribute,Food
accommodations,Attribute,Service
breweries,Attribute,Food
safeway,Attribute,Location
walkway,Attribute,Location
artichokes,Attribute,Food
concerts,Attribute,Ambiance
suv,Attribute,Location
dressings,Attribute,Food
england,Attribute,Location
plum,Attribute,Food
tram,Attribute,Location
forest,Attribute,Location
cabinets,Attribute,Ambiance
blankets,Attribute,Ambiance
getaway,Attribute,Context
salat,Attribute,Food
szechuan,Attribute,Food
oakland,Attribute,Location
televisions,Attribute,Ambiance
colorado,Attribute,Location
aftertaste,Attribute,Food
pancetta,Attribute,Food
austin,Attribute,Location
cellar,Attribute,Food
cycle,Attribute,Location
accounts,Attribute,Price
mead,Attribute,Food
centrally,Attribute,Location
acrylics,Attribute,Ambiance
earthy,Attribute,Food
guy's,Attribute,Service
masters,Attribute,Service
transit,Attribute,Location
ales,Attribute,Food
cutlet,Attribute,Food
basmati,Attribute,Food
acidic,Attribute,Food
ballpark,Attribute,Location
chiles,Attribute,Food
plantain,Attribute,Food
stripper,Attribute,Service
portland,Attribute,Location
airways,Attribute,Location
anchovies,Attribute,Food
brandy,Attribute,Food
redeemed,Attribute,Price
absinthe,Attribute,Food
hum,Attribute,Ambiance
oozing,Attribute,Food
leaks,Attribute,Ambiance
bj's,Attribute,Location
churro,Attribute,Food
filets,Attribute,Food
torte,Attribute,Food
avacado,Attribute,Food
staircase,Attribute,Ambiance
griddle,Attribute,Food
etiquette,Attribute,Ambiance
buffett,Attribute,Food
baguettes,Attribute,Food
boutiques,Attribute,Ambiance
terminals,Attribute,Location
scooped,Attribute,Food
seedy,Attribute,Ambiance
day,Attribute,Context
night,Attribute,Context
hour,Attribute,Context
friends,Attribute,Context
friend,Attribute,Context
family,Attribute,Context
couple,Attribute,Context
hours,Attribute,Context
husband,Attribute,Context
week,Attribute,Context
days,Attribute,Context
kids,Attribute,Context
party,Attribute,Context
wife,Attribute,Context
company,Attribute,Context
dog,Attribute,Context
morning,Attribute,Context
saturday,Attribute,Context
months,Attribute,Context
weekend,Attribute,Context
sunday,Attribute,Context
evening,Attribute,Context
birthday,Attribute,Context
weeks,Attribute,Context
friday,Attribute,Context
month,Attribute,Context
boyfriend,Attribute,Context
date,Attribute,Context
afternoon,Attribute,Context
mom,Attribute,Context
son,Attribute,Context
wedding,Attribute,Context
daughter,Attribute,Context
event,Attribute,Context
nights,Attribute,Context
tonight,Attribute,Context
ladies,Attribute,Context
forever,Attribute,Context
monday,Attribute,Context
hang,Attribute,Context
kid,Attribute,Context
moment,Attribute,Context
yesterday,Attribute,Context
telling,Attribute,Context
sister,Attribute,Context
girlfriend,Attribute,Context
tap,Attribute,Context
tuesday,Attribute,Context
mood,Attribute,Context
weekends,Attribute,Context
hubby,Attribute,Context
sun,Attribute,Context
parents,Attribute,Context
thursday,Attribute,Context
weather,Attribute,Context
christmas,Attribute,Context
mother,Attribute,Context
wednesday,Attribute,Context
beginning,Attribute,Context
child,Attribute,Context
bf,Attribute,Context
vacation,Attribute,Context
tired,Attribute,Context
occasion,Attribute,Context
community,Attribute,Context
occasions,Attribute,Context
winter,Attribute,Context
dad,Attribute,Context
brother,Attribute,Context
lacked,Attribute,Context
age,Attribute,Context
friend's,Attribute,Context
holiday,Attribute,Context
everyday,Attribute,Context
students,Attribute,Context
anniversary,Attribute,Context
tom,Attribute,Context
adults,Attribute,Context
adult,Attribute,Context
families,Attribute,Context
partner,Attribute,Context
weekday,Attribute,Context
starving,Attribute,Context
weekly,Attribute,Context
everytime,Attribute,Context
gf,Attribute,Context
noon,Attribute,Context
lover,Attribute,Context
midnight,Attribute,Context
july,Attribute,Context
tomorrow,Attribute,Context
lovers,Attribute,Context
dates,Attribute,Context
mon,Attribute,Context
wife's,Attribute,Context
buddy,Attribute,Context
fiance,Attribute,Context
couples,Attribute,Context
father,Attribute,Context
sundays,Attribute,Context
conference,Attribute,Context
watering,Attribute,Context
festival,Attribute,Context
dated,Attribute,Context
thanksgiving,Attribute,Context
rain,Attribute,Context
cousin,Attribute,Context
march,Attribute,Context
june,Attribute,Context
april,Attribute,Context
girlfriends,Attribute,Context
moon,Attribute,Context
uber,Attribute,Context
holidays,Attribute,Context
august,Attribute,Context
eve,Attribute,Context
breeze,Attribute,Context
companion,Attribute,Context
sunset,Attribute,Context
december,Attribute,Context
picnic,Attribute,Context
daughters,Attribute,Context
january,Attribute,Context
october,Attribute,Context
celebration,Attribute,Context
mother's,Attribute,Context
babies,Attribute,Context
p.m,Attribute,Context
bachelorette,Attribute,Context
bridal,Attribute,Context
mornings,Attribute,Context
fridays,Attribute,Context
tuesdays,Attribute,Context
occasional,Attribute,Context
wee,Attribute,Context
mom's,Attribute,Context
saturdays,Attribute,Context
november,Attribute,Context
sons,Attribute,Context
annual,Attribute,Context
showers,Attribute,Context
daughter's,Attribute,Context
brothers,Attribute,Context
ma,Attribute,Context
pa,Attribute,Context
lunchtime,Attribute,Context
hunger,Attribute,Context
weekdays,Attribute,Context
teacher,Attribute,Context
husbands,Attribute,Context
connection,Attribute,Context
uncle,Attribute,Context
toddler,Attribute,Context
september,Attribute,Context
bride,Attribute,Context
journey,Attribute,Context
bday,Attribute,Context
halloween,Attribute,Context
children's,Attribute,Context
colleagues,Attribute,Context
ceremony,Attribute,Context
overnight,Attribute,Context
childhood,Attribute,Context
aunt,Attribute,Context
mondays,Attribute,Context
february,Attribute,Context
a.m,Attribute,Context
yr,Attribute,Context
accompanying,Attribute,Context
papa,Attribute,Context
yrs,Attribute,Context
boyfriend's,Attribute,Context
sisters,Attribute,Context
rainy,Attribute,Context
companions,Attribute,Context
bros,Attribute,Context
gathering,Attribute,Context
decade,Attribute,Context
niece,Attribute,Context
moms,Attribute,Context
engagement,Attribute,Context
accompany,Attribute,Context
relative,Attribute,Context
fri,Attribute,Context
teenagers,Attribute,Context
wednesdays,Attribute,Context
parent,Attribute,Context
grandmother,Attribute,Context
thursdays,Attribute,Context
mothers,Attribute,Context
boyfriends,Attribute,Context
father's,Attribute,Context
jan,Attribute,Context
graduation,Attribute,Context
company's,Attribute,Context
nightlife,Attribute,Context
accompaniment,Attribute,Context
weddings,Attribute,Context
daytime,Attribute,Context
agave,Attribute,Context
wifey,Attribute,Context
girlfriend's,Attribute,Context
afternoons,Attribute,Context
sunday's,Attribute,Context
bf's,Attribute,Context
friday's,Attribute,Context
day's,Attribute,Context
potato,Attribute,Food
vegan,Attribute,Food
 ,,
